row_id,area__rucc,area__urban_influence,econ__economic_typology,econ__pct_civilian_labor,econ__pct_unemployment,econ__pct_uninsured_adults,econ__pct_uninsured_children,demo__pct_female,demo__pct_below_18_years_of_age,demo__pct_aged_65_years_and_older,demo__pct_hispanic,demo__pct_non_hispanic_african_american,demo__pct_non_hispanic_white,demo__pct_american_indian_or_alaskan_native,demo__pct_asian,demo__pct_adults_less_than_a_high_school_diploma,demo__pct_adults_with_high_school_diploma,demo__pct_adults_with_some_college,demo__pct_adults_bachelors_or_higher,demo__birth_rate_per_1k,demo__death_rate_per_1k,health__pct_adult_obesity,health__pct_adult_smoking,health__pct_diabetes,health__pct_low_birthweight,health__pct_excessive_drinking,health__pct_physical_inacticity,health__air_pollution_particulate_matter,health__homicides_per_100k,health__motor_vehicle_crash_deaths_per_100k,health__pop_per_dentist,health__pop_per_primary_care_physician,yr,class
0,3,12,3,0.408,0.057,0.254,0.066,0.516,0.235,0.17600000000000002,0.109,0.039,0.8290000000000001,0.004,0.011000000000000001,0.194223108,0.42430278899999996,0.22709163300000001,0.15438247,12,12,0.297,0.23,0.131,0.08900000000000001,0.16484144144144144,0.332,13.0,2.8,15.09,1650.0,1489.0,0,1
1,3,12,4,0.556,0.039,0.26,0.14300000000000002,0.503,0.272,0.10099999999999999,0.41,0.07,0.493,0.008,0.015,0.164133739,0.23404255300000001,0.342451874,0.25937183399999997,19,7,0.28800000000000003,0.19,0.09,0.08199999999999999,0.18100000000000002,0.265,10.0,2.3,19.79,2010.0,2480.0,0,1
4,1,1,5,0.541,0.057,0.07,0.023,0.522,0.179,0.115,0.20199999999999999,0.198,0.479,0.013000000000000001,0.085,0.158572844,0.23785926699999999,0.186323092,0.41724479700000006,12,6,0.212,0.156,0.084,0.098,0.195,0.209,10.0,9.31,3.14,629.0,690.0,1,0
5,6,7,5,0.5,0.061,0.203,0.059000000000000004,0.525,0.2,0.16399999999999998,0.013000000000000001,0.049,0.897,0.006999999999999999,0.001,0.181636727,0.407185629,0.24850299399999998,0.162674651,11,12,0.285,0.2136276517922455,0.10400000000000001,0.057999999999999996,0.16484144144144144,0.23800000000000002,13.0,5.947497969130781,21.13261776339444,1810.0,6630.0,1,0
6,7,10,5,0.47100000000000003,0.05,0.225,0.10300000000000001,0.511,0.237,0.171,0.025,0.008,0.953,0.003,0.0,0.12236710099999999,0.413239719,0.306920762,0.157472417,14,12,0.284,0.23399999999999999,0.13699999999999998,0.07,0.19399999999999998,0.29,9.0,5.947497969130781,29.39,3489.0,2590.0,0,1
8,8,3,2,0.501,0.048,0.212,0.055,0.516,0.207,0.121,0.022000000000000002,0.046,0.903,0.002,0.006,0.137755102,0.294897959,0.280612245,0.286734694,11,8,0.28300000000000003,0.22,0.11199999999999999,0.08900000000000001,0.067,0.272,13.0,3.8,13.74,2439.0,1540.0,0,1
10,6,5,5,0.462,0.08800000000000001,0.18,0.039,0.507,0.221,0.16699999999999998,0.034,0.002,0.9420000000000001,0.004,0.0,0.10987903199999999,0.425403226,0.326612903,0.138104839,10,10,0.305,0.205,0.11,0.07,0.193,0.282,12.0,5.947497969130781,18.55,3100.0,3689.0,1,1
11,2,12,3,0.425,0.077,0.252,0.079,0.499,0.247,0.134,0.053,0.22399999999999998,0.6809999999999999,0.004,0.023,0.12286002,0.315206445,0.364551863,0.19738167199999998,12,10,0.317,0.264,0.131,0.092,0.13,0.27699999999999997,13.0,5.6,22.27,2800.0,1790.0,0,1
14,7,4,5,0.313,0.111,0.275,0.063,0.473,0.248,0.11,0.015,0.7190000000000001,0.257,0.008,0.005,0.29213483100000004,0.278855975,0.287027579,0.141981614,12,10,0.41700000000000004,0.20800000000000002,0.127,0.139,0.106,0.373,12.0,13.6,22.78,3990.0,3549.0,0,2
15,5,11,1,0.371,0.044000000000000004,0.24100000000000002,0.11,0.489,0.34700000000000003,0.121,0.013999999999999999,0.0,0.426,0.546,0.004,0.153694581,0.323152709,0.37438423600000004,0.148768473,21,10,0.332,0.341,0.10099999999999999,0.073,0.214,0.33299999999999996,9.0,5.947497969130781,63.15,3431.4336492890993,2551.339285714286,0,1
17,5,9,4,0.47600000000000003,0.027999999999999997,0.252,0.166,0.49200000000000005,0.255,0.17800000000000002,0.061,0.005,0.868,0.05,0.0,0.09467455599999999,0.387573964,0.310650888,0.207100592,13,10,0.314,0.2136276517922455,0.12,0.08389588859416454,0.16484144144144144,0.39399999999999996,10.0,5.947497969130781,21.13261776339444,3780.0,3700.0,1,1
